rank,year,duration,age_limit,rating,numberof_ratings,Metascore,storyline,movie_name,processed_storyline
1,1994,2h 22m,15,9.3,(2.9M),82.0,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.", The Shawshank Redemption,over the course of several years two convicts form a friendship seeking consolation and eventually redemption through basic compassion
2,1972,2h 55m,15,9.2,(2M),100.0,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son., The Godfather,the aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son
3,2008,2h 32m,12A,9.0,(2.9M),84.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.", The Dark Knight,when the menace known as the joker wreaks havoc and chaos on the people of gotham batman must accept one of the greatest psychological and physical tests of his ability to fight injustice
4,2003,3h 21m,12A,9.0,(2M),94.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring., The Lord of the Rings: The Return of the King,gandalf and aragorn lead the world of men against saurons army to draw his gaze from frodo and sam as they approach mount doom with the one ring
5,1993,3h 15m,15,9.0,(1.5M),95.0,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.", Schindler's List,in germanoccupied poland during world war ii industrialist oskar schindler gradually becomes concerned for his jewish workforce after witnessing their persecution by the nazis
6,1957,1h 36m,U,9.0,(871K),97.0,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict., 12 Angry Men,the jury in a new york city murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict
7,1974,3h 22m,X,9.0,(1.4M),90.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.", The Godfather Part II,the early life and career of vito corleone in s new york city is portrayed while his son michael expands and tightens his grip on the family crime syndicate
8,2001,2h 58m,PG,8.9,(2M),92.0,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron., The Lord of the Rings: The Fellowship of the Ring,a meek hobbit from the shire and eight companions set out on a journey to destroy the powerful one ring and save middleearth from the dark lord sauron
9,1994,2h 34m,18,8.9,(2.2M),95.0,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.", Pulp Fiction,the lives of two mob hitmen a boxer a gangster and his wife and a pair of diner bandits intertwine in four tales of violence and redemption
10,2023,2h 27m,12A,8.9,(119K),,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi., 12th Fail,the reallife story of ips officer manoj kumar sharma and irs officer shraddha joshi
